Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2017-09-22,9964.400390625,226600
2017-09-25,9872.599609375,221400
2017-09-26,9871.5,190900
2017-09-27,9735.75,200100
2017-09-28,9768.9501953125,385000
2017-09-29,9788.599609375,196300
2017-10-03,9859.5,162800
2017-10-04,9914.900390625,156200
2017-10-05,9888.7001953125,147800
2017-10-06,9979.7001953125,195800
2017-10-09,9988.75,143900
2017-10-10,10016.9501953125,148600
2017-10-11,9984.7998046875,189700
2017-10-12,10096.400390625,200900
2017-10-13,10167.4501953125,230100
2017-10-16,10230.849609375,203000
2017-10-17,10234.4501953125,195700
2017-10-18,10210.849609375,254200
2017-10-19,10146.5498046875,30200
2017-10-23,10184.849609375,218100
2017-10-24,10207.7001953125,217200
2017-10-25,10295.349609375,594200
2017-10-26,10343.7998046875,429700
2017-10-27,10323.0498046875,312700
2017-10-30,10363.650390625,236900
2017-10-31,10335.2998046875,232600
2017-11-01,10440.5,260300
2017-11-02,10423.7998046875,201500
2017-11-03,10452.5,199900
2017-11-06,10451.7998046875,193600
2017-11-07,10350.150390625,286900
2017-11-08,10303.150390625,274500
2017-11-09,10308.9501953125,240200
2017-11-10,10321.75,279400
2017-11-13,10224.9501953125,210300
2017-11-14,10186.599609375,305000
2017-11-15,10118.0498046875,207400
2017-11-16,10214.75,182600
2017-11-17,10283.599609375,203300
2017-11-20,10298.75,147200
2017-11-21,10326.900390625,186100
2017-11-22,10342.2998046875,157600
2017-11-23,10348.75,153000
2017-11-24,10389.7001953125,129200
2017-11-27,10399.5498046875,141900
2017-11-28,10370.25,196000
2017-11-29,10361.2998046875,152500
2017-11-30,10226.5498046875,342500
2017-12-01,10121.7998046875,143400
2017-12-04,10127.75,148600
2017-12-05,10118.25,155500
2017-12-06,10044.099609375,166100
2017-12-07,10166.7001953125,166200
2017-12-08,10265.650390625,200000
2017-12-11,10322.25,147400
2017-12-12,10240.150390625,175100
2017-12-13,10192.9501953125,181600
2017-12-14,10252.099609375,154300
2017-12-15,10333.25,255100
2017-12-18,10388.75,230400
2017-12-19,10463.2001953125,169100
2017-12-20,10444.2001953125,175200
2017-12-21,10440.2998046875,151900
2017-12-22,10493.0,138800
2017-12-26,10531.5,155600
